scenario_type,scenario_value,well_id,whp_psia,wht_f,flow_mmscfd,source_table,notes
reservoir_pressure_model1,3000,TT-1,2228.1,144.1,21.78,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,3000,TT-2,2333.1,147.1,25.68,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,3000,TT-3,2322.8,146.4,27.08,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,3000,TT-4,2252.7,144.8,25.27,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,3000,TT-5,2281.8,146.3,26.88,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,3000,TT-7,2268.3,142.9,23.55,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,2500,TT-1,1833.1,140.1,17.90,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,2500,TT-2,1931.4,145.2,21.37,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,2500,TT-3,1919.1,143.8,22.35,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,2500,TT-4,1852.7,141.1,20.78,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,2500,TT-5,1889.1,145.0,22.30,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,2500,TT-7,1869.9,139.4,19.52,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,2000,TT-1,1473.6,133.6,12.82,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,2000,TT-2,1551.7,137.9,15.71,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,2000,TT-3,1536.4,136.6,16.33,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,2000,TT-4,1845.7,134.4,14.88,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,2000,TT-5,1524.7,137.7,16.25,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,2000,TT-7,1503.5,132.6,14.11,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,1500,TT-1,1146.9,118.8,6.92,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,1500,TT-2,1192.7,124.3,8.87,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,1500,TT-3,1179.2,122.4,9.08,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,1500,TT-4,1150.8,119.5,8.01,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,1500,TT-5,1181.0,125.2,9.11,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model1,1500,TT-7,1164.0,118.5,7.72,Table 8.2,TT-1..TT-5 and TT-7 common reservoir-pressure scenario
reservoir_pressure_model2_tt6_tt11,3000,TT-6,2362.9,146.9,24.52,Table 8.3,TT-6 and TT-11 pressure scenario
reservoir_pressure_model2_tt6_tt11,3000,TT-8,2382.6,148.1,26.39,Table 8.3,TT-6 and TT-11 pressure scenario
reservoir_pressure_model2_tt6_tt11,3000,TT-9,2337.3,148.0,27.11,Table 8.3,TT-6 and TT-11 pressure scenario
