well_id,location,sales_line,sand_group,well_type,completion_year,production_start_year,total_depth_ft,perforation_top_ft,perforation_bottom_ft,effective_perforation_length_ft,casing_id_in,tubing_id_min_in,tubing_id_max_in,total_tubing_length_ft,flowline_id_min_in,flowline_id_max_in,total_flowline_length_ft,safety_valve_depth_ft,reservoir_pressure_psia,reservoir_temperature_f,backpressure_C,backpressure_n,observed_whp_psia,observed_wht_f,observed_flow_mmscfd,simulated_whp_psia,simulated_wht_f,simulated_flow_mmscfd
TT-1,1,1,A,vertical,1962,1968,12325,8586,9085,228,9.625,3.068,3.958,8521,3.438,5.187,573,202.17,3242.35,195.0,0.00026,0.8,2415,150,23.4,2422.4,145.6,23.61
TT-2,2,1,A,vertical,1963,1968,10574,8615,9030,270,13.375,3.958,3.958,8579,3.438,5.187,413,8578,3350,195.0,0.0006,0.8,2615,150,28.2,2619.5,150.9,28.59
TT-3,1,1,A,vertical,1969,1969,9315,8589,9134,240,13.375,3.958,4.408,8504,3.438,5.187,718,8502,3350,195.0,0.00045,0.8,2615,150,30.0,2612.8,149.9,30.16
TT-4,1,1,A,vertical,1969,1969,9350,8634,9188,212,13.375,3.958,4.408,8552,3.438,3.438,605,8470,3350,195.0,0.0003,0.8,2530,150,28.0,2538.0,147.5,28.32
TT-5,1,1,A,deviated,1981,1981,10805,8639,9038,165,9.625,3.068,3.958,8490,3.438,3.438,790,278,3350,195.0,0.0006,0.8,2565,150,29.8,2560.2,150.3,29.99
TT-6,3,3,A,vertical,1983,1984,10072,8648,8976,191,9.625,3.068,3.958,8519,3.438,3.438,360,170,3310.68,195.08,0.0006235,0.817595,2531,150,27.2,2618.1,150.4,26.98
TT-7,1,1,A,deviated,1985,1985,11006,8569,9160,221,9.625,3.958,3.958,8485,3.438,3.438,608,157,3350,195.0,0.00028,0.82,2556,150,26.2,2548.9,145.9,26.44
TT-8,3,3,B/C,deviated,1985,1986,11760,9412,10257.5,234,9.625,3.958,3.958,9280,3.438,3.438,418,159,3260,205.0,0.00025,0.82,2399,150,26.2,2382.2,148.1,26.4
TT-9,3,3,B/C,deviated,1988,1989,11893,9408,10261,362,9.625,3.958,3.958,9320,3.438,3.438,300,214,3260,205.0,0.000225,0.82,2347,150,26.9,2337.6,148.0,27.1
TT-10,3,3,B/C,deviated,1988,1990,12319,9526.6,10205.6,393,9.625,3.958,3.958,9425,3.438,3.438,530,245,3097,208.9,0.0001504,0.841867,2116,150,27.0,2138.7,148.7,27.15
TT-11,4,3,A,vertical,1990,1991,10462,8700,8902,40,9.625,2.658,3.068,8642,7.625,7.625,12600,180,3350,195.0,0.000153,0.80,2010,150,23.6,2018.3,142.4,23.18
